user_id,signup_date,acquisition_channel,ab_test_group,age_groups,device
U00000,2025-03-18,Facebook,Variant,25-34,Desktop
U00001,2025-02-18,Instagram,Control,35-44,Mobile
U00002,2025-03-21,Organic,Control,25-34,Mobile
U00003,2025-02-08,Instagram,Variant,35-44,Desktop
U00004,2025-03-31,Facebook,Variant,45+,Tablet
U00005,2025-01-25,Instagram,Control,35-44,Desktop
U00006,2025-03-02,Google Ads,Variant,35-44,Mobile
U00007,2025-03-22,Facebook,Control,25-34,Desktop
U00008,2025-03-09,Referral,Control,35-44,Mobile
U00009,2025-02-18,Organic,Control,25-34,Mobile
U00010,2025-01-04,TikTok,Control,35-44,Desktop
U00011,2025-02-26,Google Ads,Variant,18-24,Mobile
U00012,2025-01-27,Facebook,Control,25-34,Tablet
U00013,2025-01-24,Organic,Control,45+,Mobile
U00014,2025-03-09,Organic,Control,25-34,Desktop
U00015,2025-03-07,Facebook,Variant,35-44,Mobile
U00016,2025-03-16,Facebook,Control,35-44,Mobile
U00017,2025-03-23,Google Ads,Control,25-34,Desktop
U00018,2025-01-17,TikTok,Variant,25-34,Desktop
U00019,2025-02-17,Facebook,Control,45+,Mobile
U00020,2025-02-07,Facebook,Control,45+,Mobile
U00021,2025-02-24,TikTok,Control,35-44,Mobile
U00022,2025-01-21,TikTok,Control,45+,Mobile
U00023,2025-02-12,Instagram,Variant,45+,Mobile
U00024,2025-03-16,Facebook,Control,45+,Desktop
U00025,2025-01-08,Instagram,Variant,25-34,Tablet
U00026,2025-02-19,Google Ads,Variant,35-44,Mobile
U00027,2025-01-13,Facebook,Control,25-34,Mobile
U00028,2025-01-25,Instagram,Control,45+,Mobile
U00029,2025-02-18,Facebook,Variant,45+,Mobile
U00030,2025-02-20,Google Ads,Variant,25-34,Mobile
U00031,2025-02-23,Google Ads,Variant,25-34,Tablet
U00032,2025-03-31,Referral,Variant,25-34,Mobile
U00033,2025-02-16,Instagram,Control,25-34,Mobile
U00034,2025-01-31,Google Ads,Control,18-24,Mobile
U00035,2025-02-20,TikTok,Variant,45+,Mobile
U00036,2025-03-28,Facebook,Variant,45+,Mobile
U00037,2025-01-13,Referral,Control,18-24,Mobile
U00038,2025-02-09,Google Ads,Control,35-44,Mobile
U00039,2025-01-25,TikTok,Control,18-24,Mobile
U00040,2025-03-30,Organic,Control,25-34,Desktop
U00041,2025-03-23,Instagram,Variant,18-24,Mobile
U00042,2025-03-09,Facebook,Control,35-44,Desktop
U00043,2025-01-06,TikTok,Control,45+,Mobile
U00044,2025-02-27,Facebook,Variant,45+,Mobile
U00045,2025-01-31,TikTok,Control,45+,Desktop
U00046,2025-03-12,Facebook,Variant,35-44,Mobile
U00047,2025-01-18,Google Ads,Variant,45+,Mobile
